Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.38476110022344
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.246732042281782
Algeria,DZA,Population growth (annual %),SP.POP.GROW,2.00737383000812
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-0.279065761519574
Andorra,AND,Population growth (annual %),SP.POP.GROW,0.00649321134981403
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.27613387502724
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,0.897185120114641
Arab World,ARB,Population growth (annual %),SP.POP.GROW,1.91591231602149
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.01580834908004
Armenia,ARM,Population growth (annual %),SP.POP.GROW,0.236306378760517
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.453575638777095
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.57484884368487
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.560750838441217
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,0.892098894830341
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,1.01095334432863
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,4.92116137205662
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,1.05004464945676
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.142439722865012
Belarus,BLR,Population growth (annual %),SP.POP.GROW,-0.13567466715245
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.411541879773053
Belize,BLZ,Population growth (annual %),SP.POP.GROW,1.92457576999509
Benin,BEN,Population growth (annual %),SP.POP.GROW,2.73486201301479
Bermuda,BMU,Population growth (annual %),SP.POP.GROW,0.147164730563287
Bhutan,BTN,Population growth (annual %),SP.POP.GROW,1.17684339517943
Bolivia,BOL,Population growth (annual %),SP.POP.GROW,1.42189948560338
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,-0.826854592009436
Botswana,BWA,Population growth (annual %),SP.POP.GROW,2.197675757572
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.783847578971981
British Virgin Islands,VGB,Population growth (annual %),SP.POP.GROW,0.757847309225455
Brunei Darussalam,BRN,Population growth (annual %),SP.POP.GROW,1.05199374278845
Bulgaria,BGR,Population growth (annual %),SP.POP.GROW,-0.733767859366281
Burkina Faso,BFA,Population growth (annual %),SP.POP.GROW,2.86707836702633
Burundi,BDI,Population growth (annual %),SP.POP.GROW,3.16677344240935
Cabo Verde,CPV,Population growth (annual %),SP.POP.GROW,1.15976676910969
Cambodia,KHM,Population growth (annual %),SP.POP.GROW,1.49035537141766
Cameroon,CMR,Population growth (annual %),SP.POP.GROW,2.61229075104427
Canada,CAN,Population growth (annual %),SP.POP.GROW,1.40924661684667
Caribbean small states,CSS,Population growth (annual %),SP.POP.GROW,0.601162817720862
Cayman Islands,CYM,Population growth (annual %),SP.POP.GROW,1.2418234783193
Central African Republic,CAF,Population growth (annual %),SP.POP.GROW,1.51905153699811
Central Europe and the Baltics,CEB,Population growth (annual %),SP.POP.GROW,-0.220882354790533
Chad,TCD,Population growth (annual %),SP.POP.GROW,3.02357969868233
Channel Islands,CHI,Population growth (annual %),SP.POP.GROW,1.0814932456123
Chile,CHL,Population growth (annual %),SP.POP.GROW,1.39101054110467
China,CHN,Population growth (annual %),SP.POP.GROW,0.455899678672578
Colombia,COL,Population growth (annual %),SP.POP.GROW,1.51727089084319
Comoros,COM,Population growth (annual %),SP.POP.GROW,2.23917061120128
"Congo, Dem. Rep.",COD,Population growth (annual %),SP.POP.GROW,3.22669890036105
"Congo, Rep.",COG,Population growth (annual %),SP.POP.GROW,2.58170130027223
Costa Rica,CRI,Population growth (annual %),SP.POP.GROW,0.99478225758881
Cote d'Ivoire,CIV,Population growth (annual %),SP.POP.GROW,2.55235886056005
Croatia,HRV,Population growth (annual %),SP.POP.GROW,-0.855405632614006
Cuba,CUB,Population growth (annual %),SP.POP.GROW,-0.00988649624040443
Curacao,CUW,Population growth (annual %),SP.POP.GROW,-0.203734790367624
Cyprus,CYP,Population growth (annual %),SP.POP.GROW,0.809225398288843
Czech Republic,CZE,Population growth (annual %),SP.POP.GROW,0.294597801117122
Denmark,DNK,Population growth (annual %),SP.POP.GROW,0.561579124028305
Djibouti,DJI,Population growth (annual %),SP.POP.GROW,1.5578736070438
Dominica,DMA,Population growth (annual %),SP.POP.GROW,0.233431051672096
Dominican Republic,DOM,Population growth (annual %),SP.POP.GROW,1.07884114802307
Early-demographic dividend,EAR,Population growth (annual %),SP.POP.GROW,1.30806354112624
East Asia & Pacific,EAS,Population growth (annual %),SP.POP.GROW,0.605775424177608
East Asia & Pacific (excluding high income),EAP,Population growth (annual %),SP.POP.GROW,0.652568917370559
East Asia & Pacific (IDA & IBRD countries),TEA,Population growth (annual %),SP.POP.GROW,0.654850956051334
Ecuador,ECU,Population growth (annual %),SP.POP.GROW,1.76561120074764
"Egypt, Arab Rep.",EGY,Population growth (annual %),SP.POP.GROW,2.03326217641077
El Salvador,SLV,Population growth (annual %),SP.POP.GROW,0.509367035813322
Equatorial Guinea,GNQ,Population growth (annual %),SP.POP.GROW,3.6545067728316
Eritrea,ERI,Population growth (annual %),SP.POP.GROW,..
Estonia,EST,Population growth (annual %),SP.POP.GROW,0.26532574046817
Eswatini,SWZ,Population growth (annual %),SP.POP.GROW,1.01179839738944
Ethiopia,ETH,Population growth (annual %),SP.POP.GROW,2.62001348207265
